libpciaccess 0.16-2.1
libpgm 5.3.128-1
libpipeline 1.5.5-1
libplacebo 4.192.1-2
libplist 2.2.0-5
libpng 1.6.37-3
libpng12 1.2.59-2
libportal 0.5-1
libproxy 0.4.17-6
libpsl 0.21.1-1
libpulse 15.0-4
libqmi 1.30.4-1
libqrtr-glib 1.2.2-1
libraqm 0.9.0-1
libraw 0.20.2-1
libraw1394 2.1.2-3.1
librevenge 0.0.4-3.1
librsvg 2:2.54.0-1
libsamplerate 0.2.2-1
libsasl 2.1.27-3.1
libseccomp 2.5.3-3
libsecret 0.20.5-1
libshout 1:2.4.5-1
libsigc++ 2.10.8-1
libslirp 4.6.1-1
libsm 1.2.3-2.1
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.4-2
libsoxr 0.1.3-2.1
libspectre 0.2.10-1
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libstemmer 2.2.0-1
libsynctex 2021.59745-1
libsysprof-capture 3.42.1-3
libtar 1.2.20-6
libtasn1 4.18.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5.1
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtool 2.4.6+59+gb55b1cc8-2
libudev 250.4-1
libunistring 0.9.10-3
libunwind 1.6.2-1
libupnp 1.14.12-3
liburcu 0.13.1-1
liburing 2.1-1
libusb 1.0.25-3
libusb-compat 0.1.7-1.1
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libuv 1.43.0-1
libva 2.13.0-2
libvdpau 1.5-1
libvirt 1:8.1.0-4
libvirt-glib 4.0.0-1
libvirt-python 1:8.1.0-1
libvirt-runit 20180801-3
libvisio 0.1.7-6
libvisual 0.4.0-8.1
libvorbis 1.3.7-3
libvpx 1.11.0-2
libvterm 0.2-1
libwacom 2.1.0-1
libwebp 1.2.2-1
libwmf 0.2.12-2.1
libwnck3 40.1-1
libwpd 0.10.3-3
libwpe 1.12.0-1
libwpg 0.3.3-2
libx11 1.7.3.1-1
libxau 1.0.9-3.1
libxaw 1.0.14-1
libxcb 1.14-1.1
libxcomposite 0.4.5-3.1
libxcrypt 4.4.28-2
libxcursor 1.2.0-2.1
libxcvt 0.1.1-1
libxdamage 1.1.5-3.1
libxdmcp 1.1.3-3.1
libxext 1.3.4-3.1
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3.1
libxkbcommon 1.4.0-1
libxkbcommon-x11 1.4.0-1
libxkbfile 1.1.0-2.1
libxklavier 5.4-3.1
libxml2 2.9.13-1
libxmu 1.1.3-2.1
libxnvctrl 510.54-2
libxpm 3.5.13-2.1
libxpresent 1.0.0-2.1
libxrandr 1.5.2-3.1
libxrender 0.9.10-4.1
libxres 1.2.1-1
libxshmfence 1.3-2.1
libxslt 1.1.35-1
libxss 1.2.3-3.1
libxt 1.2.1-1
libxtst 1.2.3-4.1
libxv 1.0.11-4.1
libxvmc 1.0.12-3.1
libxxf86vm 1.1.4-4.1
libyaml 0.2.5-1.1
libyuv r2266+eb6e7bb6-1
licenses 20220125-1
light-locker 1.9.0-5
lightdm 1:1.30.0-4.1
lightdm-gtk-greeter 1:2.0.8-2
lightdm-gtk-greeter-settings 1.2.2-7
lightdm-runit 20180226-4
links 2.25-1
linux 5.16.14.artix1-1
linux-api-headers 5.16.8-1
linux-firmware 20220309.cd01f85-1
linux-firmware-whence 20220309.cd01f85-1
linux-headers 5.16.14.artix1-1
linux-zen 5.16.15.zen1-1
linux-zen-headers 5.16.15.zen1-1
lirc 1:0.10.1-12
llvm 13.0.1-2
llvm-libs 13.0.1-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.19.0-1
lsb-release 2.0.r48.3cf5103-1.1
lshw B.02.19.2-4
lsof 4.94.0-1
lua 5.4.4-1
lua52 5.2.4-5
lua52-filesystem 1.8.0-3
lua53 5.3.6-1
luajit 2.1.0.beta3.r391.g8b8304f1-1
lvm2 2.03.15-1
lvm2-runit 20210205-3
lz4 1:1.9.3-2
lzo 2.10-3.1
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3.1
mallard-ducktype 1.0.2-8
man-db 2.10.2-1
man-pages 5.13-1
mangohud 0.6.6.1-1
mangohud-common 0.6.6.1-1
mariadb 10.7.3-1
mariadb-clients 10.7.3-1
mariadb-libs 10.7.3-1
mariadb-runit 20200823-3
mate-icon-theme-faenza 1.20.0-2
mathjax2 2.7.9-1
mcomix 1.3.0.dev0-6
md4c 0.4.8-1
mdadm 4.2-1
mdadm-runit 20180429-3
media-player-info 24-2.1
memtest86+ 5.31b-1
mesa 21.3.7-2
meson 0.61.3-1
metis 5.1.0.p10-2
micro 2.0.10-2
minizip 1:1.2.11-5
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
modemmanager 1.18.6-1
mono 6.12.0.122-1
mousepad 0.5.8-1
mpfr 4.1.0.p13-2
mpg123 1.29.3-1
mplayer 38359-1
mpv 1:0.34.1-4
msgpack-c 4.0.0-1
mtdev 1.1.6-1.1
mujs 1.2.0-2
mupdf 1.19.0-2
mypaint-brushes1 1.3.1-1
nano 6.2-1
nasm 2.15.05-1
nbd 3.24-1
nccl 2.12.7-1
ncdu 2.1-2
ncurses 6.3-2
ndctl 72.1-1
neo-matrix-git r32.7deb1eb-1
neofetch 7.1.0-2
neovim 0.6.1-2
net-snmp 5.9.1-3
net-tools 2.10-1
netpbm 10.73.37-1
nettle 3.7.3-1
networkmanager 1.36.2-1
nfs-utils 2.6.1-1
nfs-utils-runit 20200613-2
